<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
US1.KO;60;02/08/21;170000;56.9100000;71626
US1.KO;60;02/08/21;180000;56.9900000;75976
US1.KO;60;02/08/21;190000;56.9500000;36656
US1.KO;60;02/08/21;200000;56.8900000;54893
US1.KO;60;02/08/21;210000;56.8700000;35116
US1.KO;60;02/08/21;220000;56.8000000;26101
US1.KO;60;02/08/21;230000;56.8700000;91426
US1.KO;60;03/08/21;170000;56.7800000;54050
US1.KO;60;03/08/21;180000;56.8600000;58772
US1.KO;60;03/08/21;190000;56.9400000;59493
US1.KO;60;03/08/21;200000;56.8700000;28053
US1.KO;60;03/08/21;210000;56.8500000;14946
US1.KO;60;03/08/21;220000;56.8600000;22398
US1.KO;60;03/08/21;230000;56.9200000;73832
US1.KO;60;04/08/21;170000;56.6400000;65536
US1.KO;60;04/08/21;180000;56.2000000;90474
US1.KO;60;04/08/21;190000;56.1800000;105600
US1.KO;60;04/08/21;200000;56.1400000;36048
US1.KO;60;04/08/21;210000;56.1000000;33723
US1.KO;60;04/08/21;220000;56.1600000;34775
US1.KO;60;04/08/21;230000;56.1000000;174448
US1.KO;60;05/08/21;170000;56.3900000;65591
US1.KO;60;05/08/21;180000;56.4700000;45302
US1.KO;60;05/08/21;190000;56.4500000;34743
US1.KO;60;05/08/21;200000;56.4950000;25793
US1.KO;60;05/08/21;210000;56.5000000;25393
US1.KO;60;05/08/21;220000;56.4600000;29631
US1.KO;60;05/08/21;230000;56.4900000;94501
US1.KO;60;06/08/21;170000;56.4800000;87557
US1.KO;60;06/08/21;180000;56.5900000;47141
US1.KO;60;06/08/21;190000;56.5800000;48475
US1.KO;60;06/08/21;200000;56.6300000;42158
US1.KO;60;06/08/21;210000;56.6950000;41413
US1.KO;60;06/08/21;220000;56.6500000;26574
US1.KO;60;06/08/21;230000;56.6300000;80596
US1.KO;60;09/08/21;170000;56.5200000;52905
US1.KO;60;09/08/21;180000;56.4600000;40847
US1.KO;60;09/08/21;190000;56.5700000;40892
US1.KO;60;09/08/21;200000;56.5400000;16284
US1.KO;60;09/08/21;210000;56.6100000;18400
US1.KO;60;09/08/21;220000;56.5900000;17427
US1.KO;60;09/08/21;230000;56.6500000;79231
